Model,Params (M),FLOPs (G),FPS (img/s),Val Acc (Mean ± Std),Val P (Mean ± Std),Val R (Mean ± Std),Val F1 (Mean ± Std)
mobilevitv3_xs_rgb_0_1_2,7.75,2.22,141.04,84.82 ± 1.17,0.8258 ± 0.0110,0.8169 ± 0.0165,0.8206 ± 0.0129
mobilevitv3_xs_rgb_1_0_2,7.75,2.22,141.42,84.93 ± 1.88,0.8258 ± 0.0215,0.8187 ± 0.0208,0.8209 ± 0.0216
mobilevitv3_xs_rgb_1_2_0,7.75,2.22,148.57,84.19 ± 1.29,0.8159 ± 0.0131,0.8183 ± 0.0145,0.8163 ± 0.0140
mobilevitv3_xs_hls_0_1_2,7.75,2.22,143.41,83.21 ± 1.40,0.8095 ± 0.0170,0.7928 ± 0.0138,0.7987 ± 0.0159
mobilevitv3_xs_hls_1_0_2,7.75,2.22, 141.30,82.70 ± 1.57,0.7946 ± 0.0179,0.7909 ± 0.0186,0.7916 ± 0.0187
mobilevitv3_xs_hls_1_2_0,7.75,2.22,141.30,82.25 ± 0.82,0.7956 ± 0.0114,0.7891 ± 0.0068,0.7908 ± 0.0091
mobilevitv3_xs_ycbcr_0_1_2,7.75,2.22,138.16,84.48 ± 0.46,0.8231 ± 0.0098,0.8135 ± 0.0047,0.8168 ± 0.0061
-----

mobilewavevit_xs_rgb_0_1_2,3.08,1.19,153.80,84.42 ± 1.45,0.8217 ± 0.0160,0.8151 ± 0.0146,0.8175 ± 0.0154
mobilewavevit_xs_rgb_1_0_2,3.08,1.19,152.62,83.46 ± 0.69,0.8088 ± 0.0013,0.8071 ± 0.0118,0.8062 ± 0.0067
mobilewavevit_xs_rgb_1_2_0,3.08,1.19,101.79,83.69 ± 1.15,0.8087 ± 0.0132,0.8050 ± 0.0112,0.8058 ± 0.0121
mobilewavevit_xs_hls_0_1_2,3.08,1.19,148.29,83.12 ± 0.84,0.8046 ± 0.0063,0.7928 ± 0.0088,0.7979 ± 0.0077
mobilewavevit_xs_hls_1_0_2,3.08,1.19,102.76,81.71 ± 0.93,0.7848 ± 0.0041,0.7768 ± 0.0120,0.7795 ± 0.0086
mobilewavevit_xs_hls_1_2_0,3.08,1.19,146.63,82.50 ± 0.58,0.7970 ± 0.0071,0.7921 ± 0.0072,0.7936 ± 0.0047
mobilewavevit_xs_ycbcr_0_1_2,3.08,1.19,147.09,83.46 ± 0.74,0.8099 ± 0.0042,0.7982 ± 0.0098,0.8029 ± 0.0061
